Nembus;Нембус;51;And;;HR 464;3.59;24.498154;48.628214;;
Nihal;Нихаль;β;Lep;;HR 1829;2.81;82.061346;-20.759441;;Нихал
Great Attractor;Великий Аттрактор;;Nor;;;;243.886667;-60.908333;13982585100000;
Nunki;Нунки;σ;Sgr;;HR 7121;2.05;283.816360;-26.296724;;Пелаг
Nusakan;Нусакан;β;CrB;;HR 5747;3.66;231.957211;29.105699;;
Ogma;Огма;;Her;;HD 149026;8.16;247.623409;38.347311;;
Okab;Окаб;ζ;Aql;;HR 7235;2.99;286.352533;13.863477;;Денеб Эльокаб I
Paikauhale;Паикаухале;τ;Sco;;HR 6165;2.82;248.970637;-28.216017;;
Peacock;Пикок;α;Pav;;HR 7790;1.94;306.411904;-56.735090;;
Phact;Факт;α;Col;;HR 1956;2.65;84.912254;-34.074110;;Фахт, Фет
Phecda;Фекда;γ;UMa;;HR 4554;2.41;178.457679;53.694758;;Фад
Pherkad;Феркад;γ;UMi;;HR 5735;3.00;230.182150;71.834017;;Большая Феркад
Piautos;Пиаутос;λ;Cnc;;HR 3268;5.92;125.133901;24.022311;;
Pipirima;Пипирима;μ;Sco;2;HR 6252;3.56;253.083939;-38.017535;;
Pleione;Плейона;28;Tau;;HR 1180;5.05;57.296738;24.136710;;
Polaris;Полярная;α;UMi;;HR 424;1.97;37.954561;89.264109;;Киносура
Polaris Australis;Южнополярная;σ;Oct;;HR 7228;5.45;317.195164;-88.956499;;Поларис Аустралис
Polis;Полис;μ;Sgr;;HR 6812;3.84;273.440870;-21.058832;;Альталимайн
Pollux;Поллукс;β;Gem;;HR 2990;1.16;116.328958;28.026199;;
Porrima;Поррима;γ;Vir;;HR 4825;2.74;190.415181;-1.449373;;Антеворта, Постворта, Арих
Praecipua;Преципуя;46;LMi;;HR 4247;3.79;163.327937;34.214872;;
Prima Hyadum;Прима Хиадум;γ;Tau;;HR 1346;3.65;64.948349;15.627643;;Гиады, Хиадум I
Procyon;Процион;α;CMi;;HR 2943;0.40;114.825493;5.224993;;Эльгомайза
Propus;Пропус;η;Gem;;HR 2216;3.31;93.719405;22.506794;;Теят Приор, Теджат Приор, Тропус, Пропос, Пропоус
Proxima Centauri;Проксима Кентавра;α;Cen;;GJ 551;11.01;217.428953;-62.679484;;
Ran;Ран;ε;Eri;;HR 1084;3.73;53.232687;-9.458259;;Эпсилон
Rasalas;Расаляс;μ;Leo;;HR 3905;3.88;148.190903;26.006953;;Рас Элас Эд Бореалис
Rasalgethi;Расальгети;α;Her;1;HR 6406;3.37;258.661910;14.390333;;Рас Альгети
Rasalhague;Расальхаг;α;Oph;;HR 6556;2.08;263.733627;12.560035;;Рас Альхаге, Рас Альхаг
Rastaban;Растабан;β;Dra;;HR 6536;2.79;262.608174;52.301389;;Альваид
Regulus;Регул;α;Leo;;HR 3982;1.36;152.092962;11.967209;;Рэкс
Revati;Ревати;ζ;Psc;;HR 361;5.21;18.432864;7.575354;;
Rigel;Ригель;β;Ori;;HR 1713;0.18;78.634467;-8.201638;;Альгебар
Rigil Kentaurus;Ригиль Кентаврус;α;Cen;;HR 5459;-0.01;219.902066;-60.833975;;Ригель Центавра, Бунгула
Rotanev;Ротанев;β;Del;;HR 7882;3.64;309.387235;14.595115;;
Ruchbah;Рукба;δ;Cas;;HR 403;2.66;21.453964;60.235284;;
Rukbat;Рукбат;α;Sgr;;HR 7348;3.96;290.971570;-40.615940;;Альрами
Sabik;Сабик;η;Oph;;HR 6378;2.43;257.594529;-15.724907;;
Saclateni;Саклатени;ζ;Aur;;HR 1612;3.69;75.619531;41.075839;;Хедус I, Хаеди, Садатони
Sadachbia;Садахбия;γ;Aqr;;HR 8518;3.86;335.414064;-1.387334;;
Sadalbari;Садалбари;μ;Peg;;HR 8684;3.51;342.500809;24.601577;;
Sadalmelik;Садалмелик;α;Aqr;;HR 8414;2.95;331.445983;-0.319849;;Садалмелек, Садальмелек
Sadalsuud;Садалсууд;β;Aqr;;HR 8232;2.90;322.889715;-5.571176;;
Sadr;Садр;γ;Cyg;;HR 7796;2.23;305.557091;40.256679;;
Sagittarius A*;Стрелец А*;;Sgr;;;;256.291875;-29.007750;1637941900;
Saiph;Саиф;κ;Ori;;HR 2004;2.07;86.939120;-9.669605;;
Salm;Сальма;τ;Peg;;HR 8880;4.58;350.159341;23.740336;;Керб, Салм
Sargas;Саргас;θ;Sco;;HR 6553;1.86;264.329711;-42.997824;;
Sarin;Сарин;δ;Her;;HR 6410;3.12;258.757963;24.839204;;
Sceptrum;Скептрум;53;Eri;;HR 1481;4.02;69.545104;-14.304017;;Скип
Scheat;Шеат;β;Peg;;HR 8775;2.44;345.943572;28.082785;;
Schedar;Шедар;α;Cas;;HR 168;2.24;10.126838;56.537331;;Шедир
Secunda Hyadum;Секунда Хиадум;δ;Tau;;HR 1373;3.78;65.733719;17.542514;;Хиадум II
Segin;Сегин;ε;Cas;;HR 542;3.35;28.598857;63.670101;;Рукбах
Seginus;Сегинус;γ;Boo;;HR 5435;3.04;218.019466;38.308251;;Харис, Сегин
Sham;Шам;α;Sge;;HR 7479;4.39;295.024133;18.013891;;
Shaula;Шаула;λ;Sco;;HR 6527;1.62;263.402167;-37.103824;;
Sheliak;Шелиак;β;Lyr;;HR 7106;3.52;282.519978;33.362668;;
Sheratan;Шератан;β;Ari;;HR 553;2.64;28.660046;20.808031;;
Sirius;Сириус;α;CMa;;HR 2491;-1.44;101.287155;-16.716116;;Каникула, Альхабор
Situla;Ситула;κ;Aqr;;HR 8610;5.04;339.439084;-4.228056;;
Skat;Скат;δ;Aqr;;HR 8709;3.27;343.662556;-15.820827;;
Spica;Спика;α;Vir;;HR 5056;0.98;201.298247;-11.161319;;Азимех, Дана
Sualocin;Суалоцин;α;Del;;HR 7906;3.77;309.909530;15.912073;;Суалокин
Subra;Субра;ο;Leo;;HR 3852;3.52;145.287640;9.892308;;
Suhail;Сухайль;λ;Vel;;HR 3634;2.23;136.998993;-43.432589;;Аль Сухайль, Альсухайль, Аль Сухайль аль Вазн
Sulafat;Сулафат;γ;Lyr;;HR 7178;3.25;284.735928;32.689557;;Суляфат
Syrma;Сирма;ι;Vir;;HR 5338;4.07;214.003623;-6.000545;;
Tabit;Табит;π;Ori;3;HR 1543;3.19;72.460045;6.961275;;
Taiyangshou;Тайяншоу;χ;UMa;;HR 4518;3.69;176.512559;47.779406;;Эль Кофрах, Аль Кафрах
Taiyi;Тайи;8;Dra;;HR 4916;5.23;193.868951;65.438474;;
Talitha;Талитха;ι;UMa;;HR 3569;3.12;134.801890;48.041826;;Талита, Талитха Бореалис
Tania Australis;Тания Австралис;μ;UMa;;HR 4069;3.06;155.582250;41.499519;;Тания, Южная Таниа
Tania Borealis;Тания Бореалис;λ;UMa;;HR 4033;3.45;154.274095;42.914356;;Тания, Северная Таниа
Tarazed;Таразед;γ;Aql;;HR 7525;2.72;296.564915;10.613262;;
Tarf;Тарф;β;Cnc;;HR 3249;3.53;124.128838;9.185544;;Аль Тарф
Taygeta;Тайгета;19;Tau;;HR 1145;4.30;56.302063;24.467270;;
